File_Name	Class Label Short
TE_TE_001.wav	N
TE_TE_002.wav	N
TE_TE_003.wav	G
TE_TE_004.wav	R
TE_TE_005.wav	C
TE_TE_006.wav	N
TE_TE_007.wav	N
TE_TE_008.wav	G
TE_TE_009.wav	G
TE_TE_010.wav	C
TE_TE_011.wav	R
TE_TE_012.wav	G
TE_TE_013.wav	G
TE_TE_014.wav	G
TE_TE_015.wav	G
TE_TE_016.wav	G
TE_TE_017.wav	N
TE_TE_018.wav	G
TE_TE_019.wav	C
TE_TE_020.wav	G
TE_TE_021.wav	C
TE_TE_022.wav	P
TE_TE_023.wav	N
TE_TE_024.wav	R
TE_TE_025.wav	C
TE_TE_026.wav	G
TE_TE_027.wav	N
TE_TE_028.wav	P
TE_TE_029.wav	P
TE_TE_030.wav	P
TE_TE_031.wav	P
TE_TE_032.wav	G
TE_TE_033.wav	G
TE_TE_034.wav	G
TE_TE_035.wav	C
TE_TE_036.wav	G
TE_TE_037.wav	G
TE_TE_038.wav	G
TE_TE_039.wav	P
TE_TE_040.wav	G
TE_TE_041.wav	G
TE_TE_042.wav	G
TE_TE_043.wav	N
TE_TE_044.wav	N
TE_TE_045.wav	C
TE_TE_046.wav	R
TE_TE_047.wav	G
TE_TE_048.wav	N
TE_TE_049.wav	N
TE_TE_050.wav	N
